Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2020-01-01,00:00:00,CPRH,PE04,CO,0.17,ppm,Automático
2020-01-01,01:00:00,CPRH,PE04,CO,0.24,ppm,Automático
2020-01-01,02:00:00,CPRH,PE04,CO,0.23,ppm,Automático
2020-01-01,03:00:00,CPRH,PE04,CO,0.19,ppm,Automático
2020-01-01,04:00:00,CPRH,PE04,CO,0.17,ppm,Automático
2020-01-01,05:00:00,CPRH,PE04,CO,0.24,ppm,Automático
2020-01-01,06:00:00,CPRH,PE04,CO,0.26,ppm,Automático
2020-01-01,07:00:00,CPRH,PE04,CO,0.21,ppm,Automático
2020-01-01,08:00:00,CPRH,PE04,CO,0.11,ppm,Automático
2020-01-01,09:00:00,CPRH,PE04,CO,0.08,ppm,Automático
2020-01-01,10:00:00,CPRH,PE04,CO,0.07,ppm,Automático
2020-01-01,11:00:00,CPRH,PE04,CO,0.13,ppm,Automático
2020-01-01,12:00:00,CPRH,PE04,CO,0.15,ppm,Automático
2020-01-01,13:00:00,CPRH,PE04,CO,0.22,ppm,Automático
2020-01-01,14:00:00,CPRH,PE04,CO,0.2,ppm,Automático
2020-01-01,15:00:00,CPRH,PE04,CO,0.13,ppm,Automático
2020-01-01,16:00:00,CPRH,PE04,CO,0.04,ppm,Automático
2020-01-01,17:00:00,CPRH,PE04,CO,0.09,ppm,Automático
2020-01-01,18:00:00,CPRH,PE04,CO,0.14,ppm,Automático
2020-01-01,19:00:00,CPRH,PE04,CO,0.15,ppm,Automático
2020-01-01,20:00:00,CPRH,PE04,CO,0.25,ppm,Automático
2020-01-01,21:00:00,CPRH,PE04,CO,0.25,ppm,Automático
2020-01-01,22:00:00,CPRH,PE04,CO,0.27,ppm,Automático
2020-01-01,23:00:00,CPRH,PE04,CO,0.28,ppm,Automático
2020-01-02,00:00:00,CPRH,PE04,CO,0.26,ppm,Automático
2020-01-02,01:00:00,CPRH,PE04,CO,0.28,ppm,Automático
2020-01-02,02:00:00,CPRH,PE04,CO,0.43,ppm,Automático
2020-01-02,03:00:00,CPRH,PE04,CO,0.31,ppm,Automático
2020-01-02,04:00:00,CPRH,PE04,CO,0.39,ppm,Automático
2020-01-02,05:00:00,CPRH,PE04,CO,0.34,ppm,Automático
2020-01-02,06:00:00,CPRH,PE04,CO,0.34,ppm,Automático
2020-01-02,07:00:00,CPRH,PE04,CO,0.26,ppm,Automático
2020-01-02,08:00:00,CPRH,PE04,CO,0.29,ppm,Automático
2020-01-02,09:00:00,CPRH,PE04,CO,0.22,ppm,Automático
2020-01-02,10:00:00,CPRH,PE04,CO,0.24,ppm,Automático
