Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2016-01-01,01:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,02:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,03:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,04:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,05:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,06:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,07:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,08:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,09:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,10:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,11:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,12:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,13:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,14:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,15:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-01,16:00:00,CSN,PR03,SO2,0.786,ug/m3,automatico
2016-01-01,17:00:00,CSN,PR03,SO2,34.846,ug/m3,automatico
2016-01-01,18:00:00,CSN,PR03,SO2,65.762,ug/m3,automatico
2016-01-01,19:00:00,CSN,PR03,SO2,43.23,ug/m3,automatico
2016-01-01,20:00:00,CSN,PR03,SO2,21.746,ug/m3,automatico
2016-01-01,21:00:00,CSN,PR03,SO2,24.104,ug/m3,automatico
2016-01-01,22:00:00,CSN,PR03,SO2,18.34,ug/m3,automatico
2016-01-01,23:00:00,CSN,PR03,SO2,6.55,ug/m3,automatico
2016-01-01,00:00:00,CSN,PR03,SO2,2.62,ug/m3,automatico
2016-01-02,01:00:00,CSN,PR03,SO2,0.262,ug/m3,automatico
2016-01-02,02:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-02,03:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-02,04:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-02,05:00:00,CSN,PR03,SO2,7.86,ug/m3,automatico
2016-01-02,06:00:00,CSN,PR03,SO2,29.344,ug/m3,automatico
2016-01-02,07:00:00,CSN,PR03,SO2,6.812,ug/m3,automatico
2016-01-02,08:00:00,CSN,PR03,SO2,1.834,ug/m3,automatico
2016-01-02,09:00:00,CSN,PR03,SO2,1.048,ug/m3,automatico
2016-01-02,10:00:00,CSN,PR03,SO2,0.262,ug/m3,automatico
2016-01-02,11:00:00,CSN,PR03,SO2,1.31,ug/m3,automatico
2016-01-02,12:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-02,13:00:00,CSN,PR03,SO2,62.356,ug/m3,automatico
2016-01-02,14:00:00,CSN,PR03,SO2,36.942,ug/m3,automatico
2016-01-02,15:00:00,CSN,PR03,SO2,27.51,ug/m3,automatico
2016-01-02,16:00:00,CSN,PR03,SO2,26.986,ug/m3,automatico
2016-01-02,17:00:00,CSN,PR03,SO2,26.2,ug/m3,automatico
2016-01-02,18:00:00,CSN,PR03,SO2,35.632,ug/m3,automatico
2016-01-02,19:00:00,CSN,PR03,SO2,35.894,ug/m3,automatico
2016-01-02,20:00:00,CSN,PR03,SO2,30.392,ug/m3,automatico
2016-01-02,21:00:00,CSN,PR03,SO2,25.152,ug/m3,automatico
2016-01-02,22:00:00,CSN,PR03,SO2,25.152,ug/m3,automatico
2016-01-02,23:00:00,CSN,PR03,SO2,20.96,ug/m3,automatico
2016-01-02,00:00:00,CSN,PR03,SO2,17.292,ug/m3,automatico
2016-01-03,01:00:00,CSN,PR03,SO2,13.362,ug/m3,automatico
2016-01-03,02:00:00,CSN,PR03,SO2,15.458,ug/m3,automatico
2016-01-03,03:00:00,CSN,PR03,SO2,10.48,ug/m3,automatico
2016-01-03,04:00:00,CSN,PR03,SO2,6.55,ug/m3,automatico
2016-01-03,05:00:00,CSN,PR03,SO2,29.344,ug/m3,automatico
2016-01-03,06:00:00,CSN,PR03,SO2,15.982,ug/m3,automatico
2016-01-03,07:00:00,CSN,PR03,SO2,8.646,ug/m3,automatico
2016-01-03,08:00:00,CSN,PR03,SO2,12.052,ug/m3,automatico
2016-01-03,09:00:00,CSN,PR03,SO2,55.282,ug/m3,automatico
2016-01-03,10:00:00,CSN,PR03,SO2,43.492,ug/m3,automatico
2016-01-03,11:00:00,CSN,PR03,SO2,18.078,ug/m3,automatico
2016-01-03,12:00:00,CSN,PR03,SO2,46.112,ug/m3,automatico
2016-01-03,13:00:00,CSN,PR03,SO2,39.3,ug/m3,automatico
2016-01-03,14:00:00,CSN,PR03,SO2,50.566,ug/m3,automatico
2016-01-03,15:00:00,CSN,PR03,SO2,56.33,ug/m3,automatico
2016-01-03,16:00:00,CSN,PR03,SO2,70.74,ug/m3,automatico
2016-01-03,17:00:00,CSN,PR03,SO2,50.042,ug/m3,automatico
2016-01-03,18:00:00,CSN,PR03,SO2,33.536,ug/m3,automatico
2016-01-03,19:00:00,CSN,PR03,SO2,39.562,ug/m3,automatico
2016-01-03,20:00:00,CSN,PR03,SO2,24.366,ug/m3,automatico
2016-01-03,21:00:00,CSN,PR03,SO2,24.366,ug/m3,automatico
2016-01-03,22:00:00,CSN,PR03,SO2,45.85,ug/m3,automatico
2016-01-03,23:00:00,CSN,PR03,SO2,45.85,ug/m3,automatico
2016-01-03,00:00:00,CSN,PR03,SO2,37.204,ug/m3,automatico
2016-01-04,01:00:00,CSN,PR03,SO2,14.672,ug/m3,automatico
2016-01-04,02:00:00,CSN,PR03,SO2,5.24,ug/m3,automatico
2016-01-04,03:00:00,CSN,PR03,SO2,13.1,ug/m3,automatico
2016-01-04,04:00:00,CSN,PR03,SO2,1.834,ug/m3,automatico
2016-01-04,05:00:00,CSN,PR03,SO2,1.572,ug/m3,automatico
2016-01-04,06:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-04,07:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-04,08:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-04,09:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-04,10:00:00,CSN,PR03,SO2,0.262,ug/m3,automatico
2016-01-04,11:00:00,CSN,PR03,SO2,2.358,ug/m3,automatico
2016-01-04,12:00:00,CSN,PR03,SO2,0.524,ug/m3,automatico
2016-01-04,13:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-04,14:00:00,CSN,PR03,SO2,11.79,ug/m3,automatico
2016-01-04,15:00:00,CSN,PR03,SO2,6.812,ug/m3,automatico
2016-01-04,16:00:00,CSN,PR03,SO2,32.488,ug/m3,automatico
2016-01-04,17:00:00,CSN,PR03,SO2,48.208,ug/m3,automatico
2016-01-04,18:00:00,CSN,PR03,SO2,48.994,ug/m3,automatico
2016-01-04,19:00:00,CSN,PR03,SO2,32.226,ug/m3,automatico
2016-01-04,20:00:00,CSN,PR03,SO2,29.082,ug/m3,automatico
2016-01-04,21:00:00,CSN,PR03,SO2,58.164,ug/m3,automatico
2016-01-04,22:00:00,CSN,PR03,SO2,66.81,ug/m3,automatico
2016-01-04,23:00:00,CSN,PR03,SO2,46.374,ug/m3,automatico
2016-01-04,00:00:00,CSN,PR03,SO2,7.598,ug/m3,automatico
2016-01-05,01:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,02:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,03:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,04:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,05:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,06:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,07:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,08:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,09:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,10:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,11:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,12:00:00,CSN,PR03,SO2,0,ug/m3,automatico
2016-01-05,13:00:00,CSN,PR03,SO2,0,ug/m3,automatico
