Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2018-01-01,01:30:00,Pref - Tijuca,RJ88,SO2,3.11,ug/m3,automatico
2018-01-01,02:30:00,Pref - Tijuca,RJ88,SO2,10.72,ug/m3,automatico
2018-01-01,03:30:00,Pref - Tijuca,RJ88,SO2,8.65,ug/m3,automatico
2018-01-01,04:30:00,Pref - Tijuca,RJ88,SO2,4.65,ug/m3,automatico
2018-01-01,05:30:00,Pref - Tijuca,RJ88,SO2,2.86,ug/m3,automatico
2018-01-01,06:30:00,Pref - Tijuca,RJ88,SO2,4.09,ug/m3,automatico
2018-01-01,07:30:00,Pref - Tijuca,RJ88,SO2,7.26,ug/m3,automatico
2018-01-01,08:30:00,Pref - Tijuca,RJ88,SO2,10.6,ug/m3,automatico
2018-01-01,09:30:00,Pref - Tijuca,RJ88,SO2,13.08,ug/m3,automatico
2018-01-01,10:30:00,Pref - Tijuca,RJ88,SO2,8.91,ug/m3,automatico
2018-01-01,11:30:00,Pref - Tijuca,RJ88,SO2,4.74,ug/m3,automatico
2018-01-01,12:30:00,Pref - Tijuca,RJ88,SO2,2.69,ug/m3,automatico
2018-01-01,13:30:00,Pref - Tijuca,RJ88,SO2,1.53,ug/m3,automatico
2018-01-01,14:30:00,Pref - Tijuca,RJ88,SO2,1.08,ug/m3,automatico
2018-01-01,15:30:00,Pref - Tijuca,RJ88,SO2,0.84,ug/m3,automatico
2018-01-01,16:30:00,Pref - Tijuca,RJ88,SO2,0.64,ug/m3,automatico
2018-01-01,17:30:00,Pref - Tijuca,RJ88,SO2,0.23,ug/m3,automatico
2018-01-01,18:30:00,Pref - Tijuca,RJ88,SO2,0.34,ug/m3,automatico
2018-01-01,19:30:00,Pref - Tijuca,RJ88,SO2,1.02,ug/m3,automatico
2018-01-01,20:30:00,Pref - Tijuca,RJ88,SO2,0.65,ug/m3,automatico
2018-01-01,21:30:00,Pref - Tijuca,RJ88,SO2,0.17,ug/m3,automatico
2018-01-01,22:30:00,Pref - Tijuca,RJ88,SO2,0.18,ug/m3,automatico
2018-01-01,23:30:00,Pref - Tijuca,RJ88,SO2,0.11,ug/m3,automatico
2018-01-02,01:30:00,Pref - Tijuca,RJ88,SO2,6.07,ug/m3,automatico
2018-01-02,02:30:00,Pref - Tijuca,RJ88,SO2,4.55,ug/m3,automatico
2018-01-02,03:30:00,Pref - Tijuca,RJ88,SO2,2.58,ug/m3,automatico
2018-01-02,04:30:00,Pref - Tijuca,RJ88,SO2,3.96,ug/m3,automatico
2018-01-02,05:30:00,Pref - Tijuca,RJ88,SO2,8.69,ug/m3,automatico
2018-01-02,06:30:00,Pref - Tijuca,RJ88,SO2,13.29,ug/m3,automatico
2018-01-02,07:30:00,Pref - Tijuca,RJ88,SO2,14.16,ug/m3,automatico
2018-01-02,08:30:00,Pref - Tijuca,RJ88,SO2,60.26,ug/m3,automatico
2018-01-02,09:30:00,Pref - Tijuca,RJ88,SO2,38.12,ug/m3,automatico
2018-01-02,10:30:00,Pref - Tijuca,RJ88,SO2,9.75,ug/m3,automatico
2018-01-02,11:30:00,Pref - Tijuca,RJ88,SO2,7.22,ug/m3,automatico
2018-01-02,12:30:00,Pref - Tijuca,RJ88,SO2,15.8,ug/m3,automatico
2018-01-02,13:30:00,Pref - Tijuca,RJ88,SO2,21.57,ug/m3,automatico
2018-01-02,14:30:00,Pref - Tijuca,RJ88,SO2,23.66,ug/m3,automatico
2018-01-02,15:30:00,Pref - Tijuca,RJ88,SO2,13.42,ug/m3,automatico
2018-01-02,16:30:00,Pref - Tijuca,RJ88,SO2,9.67,ug/m3,automatico
2018-01-02,17:30:00,Pref - Tijuca,RJ88,SO2,7.29,ug/m3,automatico
2018-01-02,18:30:00,Pref - Tijuca,RJ88,SO2,4.88,ug/m3,automatico
2018-01-02,19:30:00,Pref - Tijuca,RJ88,SO2,6.23,ug/m3,automatico
2018-01-02,20:30:00,Pref - Tijuca,RJ88,SO2,18.12,ug/m3,automatico
2018-01-02,21:30:00,Pref - Tijuca,RJ88,SO2,19.95,ug/m3,automatico
2018-01-02,22:30:00,Pref - Tijuca,RJ88,SO2,17.76,ug/m3,automatico
2018-01-02,23:30:00,Pref - Tijuca,RJ88,SO2,11.66,ug/m3,automatico
2018-01-03,01:30:00,Pref - Tijuca,RJ88,SO2,10.49,ug/m3,automatico
2018-01-03,02:30:00,Pref - Tijuca,RJ88,SO2,10.93,ug/m3,automatico
2018-01-03,03:30:00,Pref - Tijuca,RJ88,SO2,17.38,ug/m3,automatico
2018-01-03,04:30:00,Pref - Tijuca,RJ88,SO2,11.65,ug/m3,automatico
2018-01-03,05:30:00,Pref - Tijuca,RJ88,SO2,10.77,ug/m3,automatico
2018-01-03,06:30:00,Pref - Tijuca,RJ88,SO2,8.48,ug/m3,automatico
2018-01-03,07:30:00,Pref - Tijuca,RJ88,SO2,5.4,ug/m3,automatico
2018-01-03,08:30:00,Pref - Tijuca,RJ88,SO2,3.89,ug/m3,automatico
2018-01-03,09:30:00,Pref - Tijuca,RJ88,SO2,3.39,ug/m3,automatico
2018-01-03,10:30:00,Pref - Tijuca,RJ88,SO2,2.47,ug/m3,automatico
2018-01-03,11:30:00,Pref - Tijuca,RJ88,SO2,2.98,ug/m3,automatico
