Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2022-04-26,01:00:00,CUPE,PE05,CO,0.23,ppm,Automática
2022-04-26,02:00:00,CUPE,PE05,CO,0.247,ppm,Automática
2022-04-26,03:00:00,CUPE,PE05,CO,0.257,ppm,Automática
2022-04-26,04:00:00,CUPE,PE05,CO,0.266,ppm,Automática
2022-04-26,05:00:00,CUPE,PE05,CO,0.273,ppm,Automática
2022-04-26,06:00:00,CUPE,PE05,CO,0.281,ppm,Automática
2022-04-26,07:00:00,CUPE,PE05,CO,0.297,ppm,Automática
2022-04-26,08:00:00,CUPE,PE05,CO,0.285,ppm,Automática
2022-04-26,09:00:00,CUPE,PE05,CO,0.256,ppm,Automática
2022-04-26,10:00:00,CUPE,PE05,CO,0.233,ppm,Automática
2022-04-26,11:00:00,CUPE,PE05,CO,0.215,ppm,Automática
2022-04-26,12:00:00,CUPE,PE05,CO,0.193,ppm,Automática
2022-04-26,01:00:00,CUPE,PE05,CO,0.145,ppm,Automática
2022-04-26,02:00:00,CUPE,PE05,CO,0.166,ppm,Automática
2022-04-26,03:00:00,CUPE,PE05,CO,0.202,ppm,Automática
2022-04-26,04:00:00,CUPE,PE05,CO,0.162,ppm,Automática
2022-04-26,05:00:00,CUPE,PE05,CO,0.11,ppm,Automática
2022-04-26,06:00:00,CUPE,PE05,CO,0.13,ppm,Automática
2022-04-26,07:00:00,CUPE,PE05,CO,0.179,ppm,Automática
2022-04-26,08:00:00,CUPE,PE05,CO,0.219,ppm,Automática
2022-04-26,09:00:00,CUPE,PE05,CO,0.202,ppm,Automática
2022-04-26,10:00:00,CUPE,PE05,CO,0.214,ppm,Automática
2022-04-26,11:00:00,CUPE,PE05,CO,0.216,ppm,Automática
2022-04-27,12:00:00,CUPE,PE05,CO,0.177,ppm,Automática
2022-04-27,01:00:00,CUPE,PE05,CO,0.139,ppm,Automática
2022-04-27,02:00:00,CUPE,PE05,CO,0.124,ppm,Automática
2022-04-27,03:00:00,CUPE,PE05,CO,0.087,ppm,Automática
2022-04-27,04:00:00,CUPE,PE05,CO,0.09,ppm,Automática
2022-04-27,05:00:00,CUPE,PE05,CO,0.04,ppm,Automática
2022-04-27,06:00:00,CUPE,PE05,CO,0.043,ppm,Automática
2022-04-27,07:00:00,CUPE,PE05,CO,0.058,ppm,Automática
2022-04-27,08:00:00,CUPE,PE05,CO,0.069,ppm,Automática
2022-04-27,09:00:00,CUPE,PE05,CO,0.069,ppm,Automática
2022-04-27,10:00:00,CUPE,PE05,CO,0.087,ppm,Automática
2022-04-27,11:00:00,CUPE,PE05,CO,0.097,ppm,Automática
