Código do IBGE;Código do Município;Município;Estado;Ano de Referência;Prestadores;Serviços;Natureza Jurídica;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES003 - Quantidade de economias ativas de esgotos;ES004 - Extensão da rede de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;ES007 - Volume de esgotos faturado;ES008 - Quantidade de economias residenciais ativas de esgotos;ES009 - Quantidade de ligações totais de esgotos;ES012 - Volume de esgoto bruto exportado;ES013 - Volume de esgotos bruto importado;ES014 - Volume de esgoto importado tratado nas instalações do importador;ES015 - Volume de esgoto bruto exportado tratado nas instalações do importador;ES026 - População urbana atendida com esgotamento sanitário;ES028 - Consumo total de energia elétrica nos sistemas de esgotos;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN021_AE - Extensão da rede de esgoto por ligação;IN024_AE - Índice de atendimento urbano de esgoto referido aos municípios atendidos com água;IN046_AE - Índice de esgoto tratado referido à água consumida;IN047_AE - Índice de atendimento urbano de esgoto referido aos municípios atendidos com esgoto;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água;IN059_AE - Índice de consumo de energia elétrica em sistemas de esgotamento sanitário
;120001;Acrelândia;AC;2009;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12000140] Prefeitura Municipal de Acrelândia - SMPP;Água | Res. Sólidos;;;;;;;;;;;;;;;;;;;;;;;;
;120001;Acrelândia;AC;2008;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120001;Acrelândia;AC;2007;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120001;Acrelândia;AC;2006;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120001;Acrelândia;AC;2005;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120005;Assis Brasil;AC;2009;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120005;Assis Brasil;AC;2008;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120005;Assis Brasil;AC;2007;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120005;Assis Brasil;AC;2006;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120005;Assis Brasil;AC;2005;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120010;Brasiléia;AC;2009;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120010;Brasiléia;AC;2008;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
;120010;Brasiléia;AC;2007;[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA;Água;;;;;;;;;;;;;;;;;;;;;;;;
